"","gene_name","logFC","logCPM","LR","PValue","FDR","moduleColors","moduleColors_merged"
"1","0610005C13Rik",-0.375289116757539,-0.865740573396406,1.05549345384247,0.304245278752523,0.46067445786987,"grey","grey"
"2","0610007P14Rik",0.293381936889878,5.65960496033718,9.48598422082454,0.00207047511546207,0.00842360006238005,"grey","grey"
"3","0610009B22Rik",0.0934553784744086,4.14458547592071,0.512697320104011,0.473973532373758,0.6255941944283,"brown","BrRePi"
"4","0610009L18Rik",0.188928657724238,1.45755468145287,0.613199164539628,0.43358580462724,0.589137979177452,"brown","BrRePi"
"5","0610009O20Rik",-0.185022067280005,5.85411622252925,5.21843123076089,0.0223487035337756,0.0612871087613458,"blue","blue"
"6","0610010F05Rik",0.0505986635938057,6.63260645457194,0.284049418660979,0.594059284479191,0.727127847334851,"turquoise","turquoise"
"7","0610010K14Rik",-0.256179466683364,6.59383315199082,5.73705608103007,0.0166106107986063,0.0478986500800608,"blue","blue"
"8","0610011F06Rik",-0.0878653496012693,4.9202887254534,0.661419298218789,0.416059324400762,0.573291456588552,"red","BrRePi"
"9","0610012G03Rik",0.176226734379115,6.72131355992534,3.67176693859632,0.0553414860828139,0.126748091679084,"brown","BrRePi"
"10","0610030E20Rik",-0.349692189606917,4.44206786111821,7.38428428267379,0.00657962476807179,0.0223203867811532,"pink","BrRePi"
"11","0610031J06Rik",-0.263403174228128,4.81214118310516,6.57165387447735,0.0103615619923615,0.0324065888560483,"grey","grey"
"12","0610037L13Rik",-0.180633585018925,5.31825577016779,4.08114172103575,0.0433643482155211,0.103998818854691,"red","BrRePi"
"13","0610038B21Rik",-0.405977688394145,-2.41072739474849,0.375486412985619,0.540028786042407,0.682777124390949,"grey","grey"
"14","0610040B10Rik",-0.0620230304246179,0.354674973511493,0.0414259849448122,0.838717873714079,0.903825184991859,"grey","grey"
"15","0610040J01Rik",0.105551517649152,2.10603674626942,0.177000550658152,0.673963693074038,0.787980366933124,"turquoise","turquoise"
"16","0610043K17Rik",-1.14837898774023,-3.22403130902309,1.96659079661941,0.160810195114557,0.289751155380721,"grey","grey"
"17","1110001J03Rik",0.144739435302923,4.69038638861537,1.57374096386101,0.209664565747975,0.352204351260106,"brown","BrRePi"
"18","1110002L01Rik",-0.0241067244380341,2.4004012887404,0.0150735884819784,0.902285633230767,0.943018646425948,"brown","BrRePi"
"19","1110004E09Rik",0.0404650344946717,4.88232677504874,0.181298653648546,0.670259565407567,0.784935956631506,"grey","grey"
"20","1110004F10Rik",0.0227907495468749,7.25019978404873,0.088814119540765,0.76569020503807,0.856578640488236,"brown","BrRePi"
"21","1110006O24Rik",-0.407619190192458,0.366633296126845,1.71143790796969,0.190798915534885,0.328538525221819,"blue","blue"
"22","1110007C09Rik",-0.321466903885033,2.92357652786644,2.43057659847905,0.118989123647493,0.230218703823935,"grey","grey"
