"","sample_new","sample_old"
"1","MIA.P0.8.S41.L003","X19.5_2_1_1_3_MIA_P0_8"
"2","MIA.e14.5.16.S16.L002","X14.5_2_1_2_2_MIA_e14.5_16"
"3","MIA.e14.5.9.S58.L005","X14.5_2_1_1_5_MIA_e14.5_9"
"4","MIA.e14.5.1.S1.L001","X14.5_1_1_1_1_MIA_e14.5_1"
"5","MIA.e14.5.3.S2.L001","X14.5_2_1_1_1_MIA_e14.5_3"
"6","MIA.P0.14.S47.L004","X19.5_2_2_1_4_MIA_P0_14"
"7","MIA.e14.5.5.S54.L005","X14.5_1_1_1_5_MIA_e14.5_5"
"8","MIA.P0.10.S43.L004","X19.5_1_2_1_4_MIA_P0_10"
"9","MIA.e12.5.1635.5.S46.L004","X12.5_1_1_1_7_MIA_e12.5_4"
"10","MIA.e14.5.13.S7.L001","X14.5_2_1_2_1_MIA_e14.5_13"
"11","MIA.e14.5.6.S11.L002","X14.5_1_2_1_2_MIA_e14.5_6"
"12","MIA.e14.5.14.S15.L002","X14.5_2_1_2_2_MIA_e14.5_14"
"13","MIA.e14.5.7.S56.L005","X14.5_1_2_1_5_MIA_e14.5_7"
"14","MIA.e17.5.1842.11.S61.L006","X17.5_1_2_2_9_MIA_e17.5_11"
"15","MIA.e14.5.6.S55.L005","X14.5_1_2_1_5_MIA_e14.5_6"
"16","MIA.e14.5.1.S50.L005","X14.5_1_1_1_5_MIA_e14.5_1"
"17","MIA.P0.7.S50.L006","X19.5_2_1_1_6_MIA_P0_7"
"18","MIA.P0.8.S51.L006","X19.5_2_2_1_6_MIA_P0_8"
"19","MIA.e17.5.1641.5.S45.L004","X17.5_1_2_1_7_MIA_e17.5_4"
"20","MIA.e14.5.4.S3.L001","X14.5_2_2_1_1_MIA_e14.5_4"
"21","MIA.e14.5.8.S57.L005","X14.5_2_1_1_5_MIA_e14.5_8"
"22","MIA.e12.5.1819.2.S39.L004","X12.5_2_1_2_7_MIA_e12.5_9"
"23","MIA.P0.7.S40.L003","X19.5_1_1_1_3_MIA_P0_7"
"24","MIA.e12.5.1819.5.S43.L004","X12.5_2_1_2_7_MIA_e12.5_11"
"25","MIA.e12.5.1819.4.S40.L004","X12.5_2_2_2_7_MIA_e12.5_10"
"26","MIA.e12.5.1644.4.S47.L005","X12.5_2_2_1_8_MIA_e12.5_6"
"27","MIA.e14.5.2.S51.L005","X14.5_1_2_1_5_MIA_e14.5_2"
"28","MIA.P0.1.S34.L003","X19.5_1_1_2_3_MIA_P0_1"
"29","MIA.P0.6.S49.L006","X19.5_2_2_2_6_MIA_P0_6"
"30","MIA.e17.5.1842.1.S60.L006","X17.5_1_1_2_9_MIA_e17.5_12"
"31","MIA.e12.5.1635.4.S41.L004","X12.5_1_2_1_7_MIA_e12.5_3"
"32","MMIA03.04.S85.L005.R1.001","X14.5_2_2_1_10_MMIA03_04"
